,court_short_name,court_full_name,court_jurisdiction,jurisdiction
883,Palm Beach County Court,Palm Beach County Court,ST,"Florida, FL"
884,"California Court of Appeal, 2nd District","California Court of Appeal, 2nd District",SA,"California, CA"
885,Binghamton City Court,Binghamton City Court,ST,"New York, NY"
886,Cohoes City Court,Cohoes City Court,ST,"New York, NY"
887,Blasdell Justice Court,Justice Court of Village of Blasdell,ST,"New York, NY"
888,Bedford County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Bedford County",ST,"Pennsylvania, PA"
889,Elk County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Elk County",ST,"Pennsylvania, PA"
890,Perry County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Perry County",ST,"Pennsylvania, PA"
891,Luzerne County Orphans' Court,"Pennsylvania Orphans' Court, Luzerne County",ST,"Pennsylvania, PA"
892,Columbia County Orphans' Court,"Pennsylvania Orphans' Court, Columbia County",ST,"Pennsylvania, PA"
893,Snyder County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Snyder County",ST,"Pennsylvania, PA"
894,D. Alaska,"United States Bankruptcy Court, D. Alaska",FB,"Alaska, AK"
895,Pike Circuit Court,Pike Circuit Court,ST,"Kentucky, KY"
896,Seneca Circuit Court,Seneca Circuit Court,ST,"South Carolina, SC"
897,Putnam County Court of Common Pleas,Putnam County Court of Common Pleas,ST,"Ohio, OH"
898,Jackson County Probate Court,Jackson County Probate Court,ST,"Michigan, MI"
899,Ashtabula County Court of Common Pleas,Ashtabula County Court of Common Pleas,ST,"Ohio, OH"
900,Belmont County Court of Common Pleas,Belmont County Court of Common Pleas,ST,"Ohio, OH"
901,City of Dayton Municipal Court,City of Dayton Municipal Court,ST,"Ohio, OH"
902,Akron Municipal Court,Akron Municipal Court,ST,"Ohio, OH"
903,Summit County Municipal Court,Summit County Municipal Court,ST,"Ohio, OH"
904,Preble County Court of Common Pleas,Preble County Court of Common Pleas,ST,"Ohio, OH"
905,Holmes County Court of Common Pleas,Holmes County Court of Common Pleas,ST,"Ohio, OH"
