,court_short_name,court_full_name,court_jurisdiction,jurisdiction
1041,Northumberland County Circuit Court,Northumberland County Circuit Court,ST,"Virginia, VA"
1042,Accomack County Circuit Court,Accomack County Circuit Court,ST,"Virginia, VA"
1043,King William County Circuit Court,King William County Circuit Court,ST,"Virginia, VA"
1044,Lawrence County Common Pleas Court,Lawrence County Common Pleas Court,ST,"Ohio, OH"
1045,Circuit Court of the 22nd Circuit of Michigan,Circuit Court of the 22nd Circuit of Michigan,ST,"Michigan, MI"
1046,Butler County Court of Common Pleas,Butler County Court of Common Pleas,ST,"Pennsylvania, PA"
1047,Erie County Court of Common Pleas,Erie County Court of Common Pleas,ST,"Pennsylvania, PA"
1048,"Washington County Circuit Court, Oregon","Washington County Circuit Court, Oregon",ST,"Oregon, OR"
1049,Pinellas County Court of Record,Pinellas County Civil and Criminal Court of Record,ST,"Florida, FL"
1050,Lee County Court,Lee County Court,ST,"Florida, FL"
1051,Madison County Court,Madison County Court,ST,"Mississippi, MS"
1052,"Oyer and Terminer, Albany County","Oyer and Terminer, Albany County",ST,"New York, NY"
1053,Kings Point Justice Court,Justice Court of Village of Kings Point,ST,"New York, NY"
1054,New York Court of Assizes,New York Court of Assizes,SS,"New York, NY"
1055,Lycoming County Orphans' Court,"Pennsylvania Orphans' Court, Lycoming County",ST,"Pennsylvania, PA"
1056,Washington County Orphans' Court,"Pennsylvania Orphans' Court, Washington County",ST,"Pennsylvania, PA"
1057,Bucks County Orphans' Court,"Pennsylvania Orphans' Court, Bucks County",ST,"Pennsylvania, PA"
1058,"New York Court of Session, Albany County","New York Court of Session, Albany County",ST,"New York, NY"
1059,American Samoa District Court,American Samoa District Court,TT,"American Samoa, AS"
1060,Louisiana Court of Errors and Appeals,Louisiana Court of Errors and Appeals,SA,"Louisiana, LA"
1061,Michigan Circuit Court,Michigan Circuit Court,ST,"Michigan, MI"
1062,Union County Family Court,Union County Family Court,ST,"New Jersey, NJ"
1063,Knox County Circuit Court,Knox County Circuit Court,ST,"Tennessee, TN"
1064,Wayne Circuit Court,Wayne Circuit Court,ST,"Michigan, MI"
1065,Lucas County Probate Court,Lucas County Probate Court,ST,"Ohio, OH"
1066,Fayette County Probate Court,Fayette County Probate Court,ST,"Georgia, GA"
1067,Muskingum County Juvenile Court,Muskingum County Juvenile Court,ST,"Ohio, OH"
1068,Gallia County Court of Common Pleas,Gallia County Court of Common Pleas,ST,"Ohio, OH"
1069,Adams County Court of Quarter Sessions,Adams County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1070,"Richmond Chancery Court, Virginia","Richmond Chancery Court, Virginia",ST,"Virginia, VA"
1071,Suffolk County Circuit Court,Suffolk County Circuit Court,ST,"Massachusetts, MA"
1072,Camden County Superior Court,Camden County Superior Court,ST,"New Jersey, NJ"
1073,U.S. Circuit Court for the District of Texas,U.S. Circuit Court for the District of Texas,FA,"Texas, TX"
1074,Ct. of Common Pleas of NJ,Court of Common Pleas of New Jersey,ST,"New Jersey, NJ"
1075,Circuit Court of the 31st Circuit of Michigan,Circuit Court of the 31st Circuit of Michigan,ST,"Michigan, MI"
1076,District of Columbia Orphans' Court,District of Columbia Orphans' Court,SS,"District of Columbia, DC"
1077,Greene County Circuit Court,Greene County Circuit Court,ST,"Missouri, MO"
1078,"Jackson County Circuit Court, Oregon","Jackson County Circuit Court, Oregon",ST,"Oregon, OR"
1079,Santa Rosa County Circuit Court,"Circuit Court of the 1st Judicial Circuit of Florida, Santa Rosa County",ST,"Florida, FL"
1080,Marion County Circuit Court,"Circuit Court of the 5th Judicial Circuit of Florida, Marion County",ST,"Florida, FL"
1081,Florida County Courts,Florida County Courts,ST,"Florida, FL"
1082,Texas Judicial Panel on Multidistrict Litigation,Texas Judicial Panel on Multidistrict Litigation,SA,"Texas, TX"
1083,Sacramento District Court,Sacramento District Court,ST,"California, CA"
1084,New York Saratoga County Court,"New York County Court, Saratoga County",ST,"New York, NY"
1085,"County Court of New York, Putnam County","New York County Court, Putnam County",ST,"New York, NY"
1086,Geneva City Court,Geneva City Court,ST,"New York, NY"
1087,Scarsdale Justice Court,Justice Court of Scarsdale,ST,"New York, NY"
1088,Tompkins County Court,"New York County Court, Tompkins County",ST,"New York, NY"
1089,Somerset County Orphans' Court,"Pennsylvania Orphans' Court, Somerset County",ST,"Pennsylvania, PA"
1090,Susquehanna County Orphans' Court,"Pennsylvania Orphans' Court, Susquehanna County",ST,"Pennsylvania, PA"
1091,"Houston Superior Court, Ga.","Houston Superior Court, Ga.",ST,"Georgia, GA"
1092,Massachusetts Housing Court,Massachusetts Housing Court,ST,"Massachusetts, MA"
1093,Ashland Circuit Court,Ashland Circuit Court,ST,"Kentucky, KY"
1094,Darke Circuit Court,Darke Circuit Court,ST,"Ohio, OH"
1095,Auglaize County Court of Common Pleas,Auglaize County Court of Common Pleas,ST,"Ohio, OH"
1096,Euclid City Municipal Court,Euclid City Municipal Court,ST,"Ohio, OH"
1097,Marion County Probate Court,Marion County Probate Court,ST,"Indiana, IN"
1098,Ross County Court of Common Pleas,Ross County Court of Common Pleas,ST,"Ohio, OH"
1099,Harrison County Court of Common Pleas,Harrison County Court of Common Pleas,ST,"Ohio, OH"
1100,Huron County Court of Common Pleas,Huron County Court of Common Pleas,ST,"Ohio, OH"
1101,Defiance County Court of Common Pleas,Defiance County Court of Common Pleas,ST,"Ohio, OH"
1102,Seneca County Court of Common Pleas,Seneca County Court of Common Pleas,ST,"Ohio, OH"
1103,Cambria County Court of Quarter Sessions,Cambria County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1104,Westmoreland County Circuit Court,Westmoreland County Circuit Court,ST,"Virginia, VA"
1105,Hopewell County Circuit Court,Hopewell County Circuit Court,ST,"Virginia, VA"
1106,Adams Circuit Court,Adams Circuit Court,ST,"Indiana, IN"
1107,Schoharie County Court,"New York County Court, Schoharie County",ST,"New York, NY"
1108,"New York Supreme Court, New York County","New York Supreme Court, New York County",ST,"New York, NY"
1109,Okaloosa County Circuit Court,"Circuit Court of the 1st Judicial Circuit of Florida, Okaloosa County",ST,"Florida, FL"
1110,Miami Municipal Court,Miami Municipal Court,ST,"Ohio, OH"
1111,Colonie Justice Court,Colonie Justice Court,ST,"New York, NY"
1112,Westbury Justice Court,Justice Court of Village of Westbury,ST,"New York, NY"
1113,Peekskill City Court,Peekskill City Court,ST,"New York, NY"
1114,Kinderhook Justice Court,Kinderhook Justice Court,ST,"New York, NY"
1115,Poughkeepsie City Court,Poughkeepsie City Court,ST,"New York, NY"
1116,Pennsylvania Office of the Attorney General,Pennsylvania Office of the Attorney General,SAG,"Pennsylvania, PA"
1117,Military Commission Review,United States Court of Military Commission Review,FS,"USA, Federal"
1118,Williams Circuit Court,Williams Circuit Court,ST,"The name ""Williams Circuit Court"" doesn't provide clear information about its state. Please provide more detailed information."
1119,Muskingum County Court of Common Pleas,Muskingum County Court of Common Pleas,ST,"Ohio, OH"
1120,"Umatilla County Circuit Court, Oregon","Umatilla County Circuit Court, Oregon",ST,"Oregon, OR"
1121,Snyder County Court of Quarter Sessions,Snyder County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1122,Crawford County Court of Quarter Sessions,Crawford County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1123,U.S. Circuit Court for the District of Georgia,U.S. Circuit Court for the District of Georgia,FA,"Georgia, GA"
1124,U.S. Circuit Court for the District of Western Kentucky,U.S. Circuit Court for the District of Western Kentucky,FA,"Kentucky, KY"
1125,Logan Circuit Court,Logan Circuit Court,ST,"Kentucky, KY"
1126,Suwannee County Judge's Court,Suwannee County Judge's Court,ST,"Florida, FL"
1127,Miami-Dade County Court,Miami-Dade County Court,ST,"Florida, FL"
1128,Polk County Court,Polk County Court,ST,"Iowa, IA"
1129,Okaloosa County Court,Okaloosa County Court,ST,"Florida, FL"
1130,Henrietta Justice Court,Henrietta Justice Court,ST,"New York, NY"
1131,Sand Lake Justice Court,Sand Lake Justice Court,ST,"New York, NY"
1132,Clinton County Orphans' Court,"Pennsylvania Orphans' Court, Clinton County",ST,"Pennsylvania, PA"
1133,Lawrence County Orphans' Court,"Pennsylvania Orphans' Court, Lawrence County",ST,"Pennsylvania, PA"
1134,Wyandot Circuit Court,Wyandot Circuit Court,ST,"Indiana, IN"
1135,Municipal Court of Vandalia,Municipal Court of Vandalia,ST,"Ohio, OH"
1136,Fostoria Municipal Court,Fostoria Municipal Court,ST,"Ohio, OH"
1137,Shelby County Court of Common Pleas,Shelby County Court of Common Pleas,ST,"Ohio, OH"
1138,Allegheny County Court of Oyer and Terminer,Allegheny County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1139,Pike County Court of Quarter Sessions,Pike County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1140,Erie County Court of Quarter Sessions,Erie County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1141,Lawrence County Court of Quarter Sessions,Lawrence County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1142,Fairfield County Court of Common Pleas,Fairfield County Court of Common Pleas,ST,"Ohio, OH"
1143,Russell County Circuit Court,Russell County Circuit Court,ST,"Alabama, AL"
1144,"Lynchburg Corporation Court, Va.","Lynchburg Corporation Court, Va.",ST,"Virginia, VA"
1145,Muskingum Circuit Court,Muskingum Circuit Court,ST,"Ohio, OH"
1146,Harrison Circuit Court,Harrison Circuit Court,ST,"Indiana, IN"
1147,Fort McDowell Yavapai Nation Tribal Court of Appeals,Fort McDowell Yavapai Nation Tribal Court of Appeals,TRA,"Arizona, AZ"
1148,"Wilkes County Superior Court, Ga.","Wilkes County Superior Court, Ga.",ST,"Georgia, GA"
1149,Orange County Judge's Court,Orange County Judge's Court,ST,"California, CA"
1150,Dade County Court of Record,Dade County Civil and Criminal Court of Record,ST,"Florida, FL"
1151,Roslyn Harbor Justice Court,Justice Court of Village of Roslyn Harbor,ST,"New York, NY"
1152,Greene County Orphans' Court,"Pennsylvania Orphans' Court, Greene County",ST,"Pennsylvania, PA"
1153,Cameron County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Cameron County",ST,"Pennsylvania, PA"
1154,Columbiana Circuit Court,Columbiana Circuit Court,ST,"Alabama, AL"
1155,Findlay Municipal Court,Findlay Municipal Court,ST,"Ohio, OH"
1156,Hocking County Court of Common Pleas,Hocking County Court of Common Pleas,ST,"Ohio, OH"
1157,Carroll County Court of Common Pleas,Carroll County Court of Common Pleas,ST,"New Hampshire, NH"
1158,Guernsey County Court of Common Pleas,Guernsey County Court of Common Pleas,ST,"Ohio, OH"
1159,Petersburg County Circuit Court,Petersburg County Circuit Court,ST,"Virginia, VA"
1160,U.S. Circuit Court for the District of Middle Alabama,U.S. Circuit Court for the District of Middle Alabama,FA,"Alabama, AL"
1161,Navajo Nation Family Court,Navajo Nation Family Court,TRX,"Arizona, AZ"
1162,D. Mississippi,"District Court, D. Mississippi",FD,"Mississippi, MS"
1163,United States Surveyor,United States Surveyor,FS,"USA, Federal"
1164,Chemung County Court,"New York County Court, Chemung County",ST,"New York, NY"
1165,Superior Court of Louisiana,Superior Court of Louisiana,ST,"Louisiana, LA"
1166,"Morris County Circuit Court, N.J.","Morris County Circuit Court, N.J.",SA,"New Jersey, NJ"
1167,City of Columbus Municipal Court,City of Columbus Municipal Court,ST,"Ohio, OH"
1168,Struthers Municipal Court,Struthers Municipal Court,ST,"Ohio, OH"
1169,Pickaway County Court of Common Pleas,Pickaway County Court of Common Pleas,ST,"Ohio, OH"
1170,Montgomery County Court of Oyer and Terminer,Montgomery County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1171,Lackawanna County Court of Oyer and Terminer,Lackawanna County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1172,"Court of Appeals of Ohio, Second District, Miami County","Court of Appeals of Ohio, Second District, Miami County",ST,"Ohio, OH"
1173,Botetourt County Circuit Court,Botetourt County Circuit Court,ST,"Virginia, VA"
1174,Powhatan County Circuit Court,Powhatan County Circuit Court,ST,"Virginia, VA"
1175,Prince George County Circuit Court,Prince George County Circuit Court,ST,"Virginia, VA"
1176,Sussex County Superior Court,Sussex County Superior Court,ST,"Delaware, DE"
1177,Philadelphia Department of Justice,Philadelphia Department of Justice,FS,"Pennsylvania, PA"
1178,Florida Fourth District Court of Appeal,Florida Fourth District Court of Appeal,SA,"Florida, FL"
1179,Salina Register and Receiver,Salina Register and Receiver,SS,"USA, Federal"
1180,Escambia County Circuit Court,"Circuit Court of the 1st Judicial Circuit of Florida, Escambia County",ST,"Florida, FL"
1181,Seminole County Circuit Court,"Circuit Court of the 18th Judicial Circuit of Florida, Seminole County",ST,"Florida, FL"
1182,Supreme Court of Guam,Supreme Court of Guam,S,"Guam, GU"
1183,Erie County Court,"New York County Court, Erie County",ST,"New York, NY"
1184,Livingston County Court,"New York County Court, Livingston County",ST,"New York, NY"
1185,McKean County Court of Common Pleas,"Pennsylvania Court of Common Pleas, McKean County",ST,"Pennsylvania, PA"
1186,Cayuga County Court,"New York County Court, Cayuga County ",ST,"New York, NY"
1187,Bronx County Court,Bronx County Court,ST,"New York, NY"
1188,Crawford Circuit Court,Crawford Circuit Court,ST,"Indiana, IN"
1189,"Court of Appeals of Ohio, Twelfth District, Butler County","Court of Appeals of Ohio, Twelfth District, Butler County",ST,"Ohio, OH"
1190,Clermont Circuit Court,Clermont Circuit Court,ST,"Indiana, IN"
1191,Paulding Circuit Court,Paulding Circuit Court,ST,"Georgia, GA"
1192,Columbiana County Probate Court,Columbiana County Probate Court,ST,"Ohio, OH"
1193,Licking County Municipal Court,Licking County Municipal Court,ST,"Ohio, OH"
1194,Portage County Court of Common Pleas,Portage County Court of Common Pleas,ST,"Ohio, OH"
1195,Northumberland County Court of Quarter Sessions,Northumberland County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1196,Recorder of Philadelphia,Recorder of Philadelphia,SS,"Pennsylvania, PA"
1197,Richland County Court of Common Pleas,Richland County Court of Common Pleas,ST,"South Carolina, SC"
1198,Logan County Court of Common Pleas,Logan County Court of Common Pleas,ST,"Ohio, OH"
1199,Nottoway County Circuit Court,Nottoway County Circuit Court,ST,"Virginia, VA"
1200,D. Iowa,"District Court, D. Iowa",FD,"Iowa, IA"
1201,U.S. Circuit Court for the Eastern District of Illinois,U.S. Circuit Court for the Eastern District of Illinois,FA,"USA, Federal"
1202,"Marion County Circuit Court, Oregon","Marion County Circuit Court, Oregon",ST,"Oregon, OR"
1203,Steuben County Court,"New York County Court, Steuben County",ST,"New York, NY"
1204,Circuit Court of the 9th Circuit of Michigan,Circuit Court of the 9th Circuit of Michigan,ST,"Michigan, MI"
1205,Mercer County Court of Common Pleas,Mercer County Court of Common Pleas,ST,"Pennsylvania, PA"
1206,U.S. Judicial Conference Committee,United States Judicial Conference Committee,C,"USA, Federal"
1207,Jamestown City Court,Jamestown City Court,ST,"New York, NY"
1208,Batavia City Court,Batavia City Court,ST,"New York, NY"
1209,Oswego City Court,Oswego City Court,ST,"New York, NY"
1210,North Greenbush Justice Court,North Greenbush Justice Court,ST,"New York, NY"
1211,Indiana Circuit Court,Indiana Circuit Court,F,"Indiana, IN"
1212,Allen County Probate Court,Allen County Probate Court,ST,"Ohio, OH"
1213,"Douglas County Circuit Court, Oregon","Douglas County Circuit Court, Oregon",ST,"Oregon, OR"
1214,Columbia County Court of Quarter Sessions,Columbia County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1215,Elk County Court of Quarter Sessions,Elk County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1216,Franklin County Court of Quarter Sessions,Franklin County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1217,Columbia County Court of Oyer and Terminer,Columbia County Court of Oyer and Terminer,ST,"New York, NY"
1218,Carbon County Court of Quarter Sessions,Carbon County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1219,"Court of Appeals of Ohio, Fourth District, Adams County","Court of Appeals of Ohio, Fourth District, Adams County",ST,"Ohio, OH"
1220,"Court of Appeals of Ohio, Seventh District, Mahoning County","Court of Appeals of Ohio, Seventh District, Mahoning County",ST,"Ohio, OH"
1221,Arapahoe County District Court,Arapahoe County District Court,ST,"Colorado, CO"
1222,"Marion County Superior Court, Ga.","Marion County Superior Court, Ga.",ST,"Georgia, GA"
1223,"Early County Superior Court, Ga.","Early County Superior Court, Ga.",ST,"Georgia, GA"
1224,Pinellas County Circuit Court,"Circuit Court of the 6th Judicial Circuit of Florida, Pinellas County",ST,"Florida, FL"
1225,Wayne County Court,"New York County Court, Wayne County",ST,"New York, NY"
1226,Port Jervis City Court,Port Jervis City Court,ST,"New York, NY"
1227,Wyoming County Court,"New York County Court, Wyoming County",ST,"New York, NY"
1228,Cumberland County Orphans' Court,"Pennsylvania Orphans' Court, Cumberland County",ST,"Pennsylvania, PA"
1229,Huntingdon County Orphans' Court,"Pennsylvania Orphans' Court, Huntingdon County",ST,"Pennsylvania, PA"
1230,Hudson County Surrogate's Court,Hudson County Surrogate's Court,ST,"New Jersey, NJ"
1231,Medina Circuit Court,Medina Circuit Court,ST,"Ohio, OH"
1232,Henry County Court of Common Pleas,Henry County Court of Common Pleas,ST,"Ohio, OH"
1233,"Baker County Circuit Court, Oregon","Baker County Circuit Court, Oregon",ST,"Oregon, OR"
1234,D. Louisiana,"District Court, D. Louisiana",FD,"Louisiana, LA"
1235,Little River Band of Ottawa Indians Tribal Court,Little River Band of Ottawa Indians Tribal Court,TRT,"Michigan, MI"
1236,"Fayette Superior Court, Ga.","Fayette Superior Court, Ga.",ST,"Georgia, GA"
1237,Hamilton County Circuit Court,"Circuit Court of the 3rd Judicial Circuit of Florida, Hamilton County",ST,"Florida, FL"
1238,Volusia County Judge's Court,Volusia County Judge's Court,ST,"Florida, FL"
1239,Bradford County Circuit Court,"Circuit Court of the 8th Judicial Circuit of Florida, Bradford County",ST,"Florida, FL"
1240,Jefferson County Court,Jefferson County Court,ST,"This is a bit challenging without additional context since there are many Jefferson Counties across the United States. However, some of the states with a Jefferson County Court include New York, NY; Colorado, CO; and Kentucky, KY, among others."
1241,Albany Court of Special Sessions,Albany Court of Special Sessions,ST,"New York, NY"
1242,Auburn City Court,Auburn City Court,ST,"New York, NY"
1243,Camden County Surrogate's Court,Camden County Surrogate's Court,ST,"New Jersey, NJ"
1244,Passaic County Family Court,Passaic County Family Court,ST,"New Jersey, NJ"
1245,Fayette Circuit Court,Fayette Circuit Court,ST,"Kentucky, KY"
1246,Putnam Circuit Court,Putnam Circuit Court,ST,"West Virginia, WV"
1247,Franklin County Municipal Court,Franklin County Municipal Court,ST,"Ohio, OH"
1248,Galia County Court of Common Pleas,Galia County Court of Common Pleas,ST,"Ohio, OH"
1249,"Court of Appeals of Ohio, Fourth District, Hocking County","Court of Appeals of Ohio, Fourth District, Hocking County",ST,"Ohio, OH"
1250,"Court of Appeals of Ohio, Fourth District, Gallia County","Court of Appeals of Ohio, Fourth District, Gallia County",ST,"Ohio, OH"
1251,Rockbridge County Circuit Court,Rockbridge County Circuit Court,ST,"Virginia, VA"
1252,Cherokee Indian Trib. Ct.,Cherokee Indian Tribal Court,TRT,"North Carolina, NC"
1253,Circuit Court of the 48th Circuit of Michigan,Circuit Court of the 48th Circuit of Michigan,ST,"Michigan, MI"
1254,Sac and Fox Nation Supreme Court,Sac and Fox Nation Supreme Court,TRS,"Oklahoma, OK"
1255,Bent County District Court,Bent County District Court,ST,"Colorado, CO"
1256,Lee County Circuit Court,"Circuit Court of the 20th Judicial Circuit of Florida, Lee County",ST,"Florida, FL"
1257,Manatee County Court,Manatee County Court,ST,"Florida, FL"
1258,Hunter Justice Court,Hunter Justice Court,ST,"New York, NY"
1259,Albany City Police Court,Albany City Police Court,ST,"New York, NY"
1260,Fleischmanns Justice Court,Justice Court of Village of Fleischmanns,ST,"New York, NY"
1261,Dickinson Justice Court,Dickinson Justice Court,ST,"North Dakota, ND"
1262,Valley Stream Justice Court,Valley Stream Justice Court,ST,"New York, NY"
1263,New York City Court of Special Sessions,New York City Court of Special Sessions,ST,"New York, NY"
1264,Perry County Orphans' Court,"Pennsylvania Orphans' Court, Perry County",ST,"Pennsylvania, PA"
1265,Beaver County Orphans' Court,"Pennsylvania Orphans' Court, Beaver County",ST,"Pennsylvania, PA"
1266,Wycoming County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Wycoming County",ST,"Pennsylvania, PA"
1267,Hudson County Family Court,Hudson County Family Court,ST,"New Jersey, NJ"
1268,Willoughby Municipal Court,Willoughby Municipal Court,ST,"Ohio, OH"
1269,Morrow County Municipal Court,Morrow County Municipal Court,ST,"Ohio, OH"
1270,Fayette County Court of Oyer and Terminer,Fayette County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1271,Philadelphia Mayor's Court,Philadelphia Mayor's Court,ST,"Pennsylvania, PA"
1272,Chautauqua County Court,"New York County Court, Chautauqua County",ST,"New York, NY"
1273,Fulton County Court of Common Pleas,Fulton County Court of Common Pleas,ST,"Georgia, GA"
1274,Polk County Circuit Court,"Circuit Court of the 10th Judicial Circuit of Florida, Polk County",ST,"Florida, FL"
1275,Lloyd Harbor Village Police Court,Lloyd Harbor Village Police Court,ST,"New York, NY"
1276,Ramapo Justice Court,Justice Court of Town of Ramapo,ST,"New York, NY"
1277,Justice Court of Town of Greenburgh,Justice Court of Town of Greenburgh,ST,"New York, NY"
1278,Cornwall Justice Court,Cornwall Justice Court,ST,"New York, NY"
1279,Kensington Village Court,Kensington Village Court,ST,"New York, NY"
1280,"Bergen County Circuit Court, N.J.","Bergen County Circuit Court, N.J.",SA,"New Jersey, NJ"
1281,Richland Circuit Court,Richland Circuit Court,ST,"South Carolina, SC"
1282,Ohio Civil Rights Commission,Ohio Civil Rights Commission,C,"Ohio, OH"
1283,"Wasco County Circuit Court, Oregon","Wasco County Circuit Court, Oregon",ST,"Oregon, OR"
1284,Warren County Court of Quarter Sessions,Warren County Court of Quarter Sessions,ST,"Kentucky, KY"
1285,Northampton County Court of Oyer and Terminer,Northampton County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1286,Westmoreland County Court of Quarter Sessions,Westmoreland County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1287,Craig County Circuit Court,Craig County Circuit Court,ST,"Virginia, VA"
1288,Staunton County Circuit Court,Staunton County Circuit Court,ST,"Virginia, VA"
1289,D. West Virginia,"District Court, D. West Virginia",FD,"West Virginia, WV"
1290,Circuit Court of the 17th Circuit of Michigan,Circuit Court of the 17th Circuit of Michigan,ST,"Michigan, MI"
1291,"Burke County Superior Court, Ga.","Burke County Superior Court, Ga.",ST,"Georgia, GA"
1292,Citrus County Circuit Court,"Circuit Court of the 5th Judicial Circuit of Florida, Citrus County",ST,"Florida, FL"
1293,Osceola County Court,Osceola County Court,ST,"Florida, FL"
1294,Monterey District Court,Monterey District Court,ST,"California, CA"
1295,"New York Circuit Court, Delaware County","New York Circuit Court, Delaware County",ST,"New York, NY"
1296,North Castle Justice Court,North Castle Justice Court,ST,"New York, NY"
1297,Lynbrook Justice Court,Village Justice Court of Village of Lynbrook,ST,"New York, NY"
1298,Perinton Justice Court,Justice Court of Town of Perinton,ST,"New York, NY"
1299,Dutchess County Court,"New York County Court, Dutchess County",ST,"New York, NY"
1300,Cameron County Orphans' Court,"Pennsylvania Orphans' Court, Cameron County",ST,"Pennsylvania, PA"
1301,Sullivan County Court of Common Pleas,"Pennsylvania Court of Common Pleas, Sullivan County",ST,"Pennsylvania, PA"
1302,"Superior Court, S. D. Florida","Superior Court, S. D. Florida",FS,"USA, Federal"
1303,Superior Court of South Carolina,Superior Court of South Carolina,ST,"South Carolina, SC"
1304,Sandusky County Probate Court,Sandusky County Probate Court,ST,"Ohio, OH"
1305,Miami County Probate Court,Miami County Probate Court,ST,"Ohio, OH"
1306,Noble County Juvenile Court,Noble County Juvenile Court,ST,"Ohio, OH"
1307,Bellefontaine Municipal Court,Bellefontaine Municipal Court,ST,"Ohio, OH"
1308,Lawrence County Court of Oyer and Terminer,Lawrence County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1309,"Court of Appeals of Ohio, Ninth District, Summit County","Court of Appeals of Ohio, Ninth District, Summit County",ST,"Ohio, OH"
1310,Williamsburg and James County Circuit Court,Williamsburg and James County Circuit Court,ST,"Virginia, VA"
1311,Page County Circuit Court,Page County Circuit Court,ST,"Virginia, VA"
1312,D. Alabama,"District Court, D. Alabama",FD,"Alabama, AL"
1313,Circuit Court of the 40th Circuit of Michigan,Circuit Court of the 40th Circuit of Michigan,ST,"Michigan, MI"
1314,Little River Band of Ottawa Indians Tribal Court of Appeals,Little River Band of Ottawa Indians Tribal Court of Appeals,TRA,"Michigan, MI"
1315,Sumter County Circuit Court,"Circuit Court of the 5th Judicial Circuit of Florida, Sumter County",ST,"Florida, FL"
1316,Palm Beach County Court of Record,Palm Beach County Civil and Criminal Court of Record,ST,"Florida, FL"
1317,Mamaroneck Justice Court,Mamaroneck Justice Court,ST,"New York, NY"
1318,Rome City Court,Rome City Court,ST,"New York, NY"
1319,Cayuga Heights Justice Court,Justice Court of Village of Cayuga Heights,ST,"New York, NY"
1320,Jackson County Court,Jackson County Court,ST,"Mississippi, MS"
1321,Pennsylvania Orphans' Court,Pennsylvania Orphans' Court,ST,"Pennsylvania, PA"
1322,Bergen County Family Court,Bergen County Family Court,ST,"New Jersey, NJ"
1323,Portage Circuit Court,Portage Circuit Court,ST,"Michigan, MI"
1324,"Court of Appeals of Ohio, Sixth District, Lucas County","Court of Appeals of Ohio, Sixth District, Lucas County",ST,"Ohio, OH"
1325,"Court of Appeals of Ohio, Second District, Greene County","Court of Appeals of Ohio, Second District, Greene County",ST,"Ohio, OH"
1326,Scioto Circuit Court,Scioto Circuit Court,ST,"Ohio, OH"
1327,Champaign Circuit Court,Champaign Circuit Court,ST,"Illinois, IL"
1328,Fairfield County Probate Court,Fairfield County Probate Court,ST,"Connecticut, CT"
1329,Geauga County Probate Court,Geauga County Probate Court,ST,"Ohio, OH"
1330,"Yamhill County Circuit Court, Oregon","Yamhill County Circuit Court, Oregon",ST,"Oregon, OR"
1331,Butler County Court of Quarter Sessions,Butler County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1332,Greene County Court of Quarter Sessions,Greene County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1333,Police Court of The Virgin Islands,Police Court of The Virgin Islands,TT,"USA, Federal"
1334,Greensville County Circuit Court,Greensville County Circuit Court,ST,"Virginia, VA"
1335,Collier County Circuit Court,"Circuit Court of the 20th Judicial Circuit of Florida, Collier County",ST,"Florida, FL"
1336,Duval County Court,Duval County Court,ST,"Florida, FL"
1337,"California Court of Appeal, 3rd District","California Court of Appeal, 3rd District",SA,"California, CA"
1338,Butler County Probate Court,Butler County Probate Court,ST,"Ohio, OH"
1339,Avon Lake Municipal Court,Avon Lake Municipal Court,ST,"Ohio, OH"
1340,Beaver County Court of Oyer and Terminer,Beaver County Court of Oyer and Terminer,ST,"Pennsylvania, PA"
1341,"Court of Appeals of Ohio, Fourth District, Pickaway County","Court of Appeals of Ohio, Fourth District, Pickaway County",ST,"Ohio, OH"
1342,"Court of Appeals of Ohio, Eleventh District, Portage County","Court of Appeals of Ohio, Eleventh District, Portage County",ST,"Ohio, OH"
1343,"Court of Appeals of Ohio, Fourth District, Washington County","Court of Appeals of Ohio, Fourth District, Washington County",ST,"Ohio, OH"
1344,Southampton County Circuit Court,Southampton County Circuit Court,ST,"Virginia, VA"
1345,U.S. Circuit Court for the District of North Dakota,U.S. Circuit Court for the District of North Dakota,FA,"North Dakota, ND"
1346,St. Lucie County Small Claims Court,St. Lucie County Small Claims Court,ST,"Florida, FL"
1347,Brevard County Court,Brevard County Court,ST,"Florida, FL"
1348,Sarasota County Court,Sarasota County Court,ST,"Florida, FL"
